user_id,program_id,listen_ratio,save
U100,5038,0.53,no
U100,3546,0.7,no
U100,1871,0.53,no
U100,1581,0.83,yes
U100,1693,0.16,no
U100,3613,0.9,no
U100,1179,0.4,yes
U100,771,0.34,no
U100,1499,0.4,no
U100,1258,0.51,no
U103,4853,0.2,no
U103,105,0.34,no
U103,4777,0.15,no
U103,945,0.86,yes
U103,4297,0.45,no
U103,1651,0.78,no
U103,1792,0.16,no
U103,1594,0.28,no
U103,2074,0.71,no
U103,942,0.71,no
U103,3620,0.34,no
U103,97,0.87,no
U103,3617,0.87,no
U103,3631,0.35,no
U103,869,0.16,no
U103,3619,0.72,yes
U104,5543,0.48,no
U104,1741,0.77,no
U105,4283,0.28,no
U105,4909,0.9,yes
U105,90,0.92,no
U105,169,0.13,no
U106,4294,0.44,no
U106,4745,0.43,no
U106,4360,0.22,no
U106,4357,0.29,no
U106,4370,0.77,no
U106,4383,0.96,no
U106,133,0.47,no
U106,535,0.68,no
U106,4970,0.85,no
U106,845,0.56,no
U106,4625,0.67,no
U106,4310,0.69,no
U106,4281,0.39,no
U106,6038,0.07,no
U106,4436,0.15,no
U106,2053,0.96,no
U106,1928,0.48,no
U106,3420,0.23,no
U106,3983,0.47,no
U106,3982,0.92,no
U106,4015,0.76,yes
U106,3624,0.26,no
U106,3810,0.97,no
U106,755,0.93,yes
U106,876,0.27,no
U106,740,0.78,yes
U106,983,0.58,no
U106,1406,0.96,yes
U106,1231,0.46,yes
U106,1220,0.9,no
U108,5129,0.58,no
U108,2011,0.92,no
U108,3986,0.94,yes
U108,3624,0.42,no
U108,3645,0.37,no
U108,782,0.54,no
U108,1220,0.85,yes
U108,1240,0.52,no
U108,1228,0.98,no
U112,4145,0.4,no
U112,4199,0.14,no
U112,1413,0.81,no
U112,4463,0.68,no
U112,5495,0.94,yes
U112,653,0.43,no
U112,1075,0.76,no
U112,4232,0.9,no
U112,4267,0.88,no
U112,3926,0.67,no
U112,6781,0.77,no
U112,21,0.73,no
U112,5124,0.17,no
U112,4432,0.16,no
U112,6082,0.08,no
U112,4873,0.98,no
U112,4299,0.29,no
U112,4407,0.8,no
U112,230,0.77,yes
U112,4357,0.51,no
U112,4267,0.81,no
U112,1513,0.75,no
U112,1591,0.68,yes
U112,1562,0.97,yes
U112,1577,0.75,no
U112,2647,0.56,no
U112,2028,0.22,no
U112,1577,0.8,no
U112,2669,0.68,no
U112,2200,0.22,no
U112,1612,0.82,no
U112,1631,0.37,no
U112,2146,0.38,no
U112,3609,0.74,no
U112,3622,0.74,no
U112,1058,0.84,no
U112,3871,0.56,no
U112,3639,0.85,no
U112,3630,0.45,no
U112,869,0.57,no
U112,3634,0.94,yes
U112,3871,0.44,yes
U112,3609,0.69,no
U112,649,0.23,no
U112,3675,0.87,no
U112,168,0.98,no
U112,3730,0.22,no
U112,3635,0.65,no
U112,52,0.54,no
U112,63,0.33,no
U112,585,0.16,no
U112,50,0.68,no
U112,680,0.26,no
U112,109,0.74,no
U112,678,0.53,no
U112,7,0.79,no
U112,4,0.73,no
U112,95,0.24,no
U112,143,0.14,no
U112,208,0.18,no
U112,44,0.72,no
U112,105,0.94,yes
U112,580,0.24,no
U112,3,0.77,yes
U112,23,0.66,yes
U112,107,0.78,no
U112,1222,0.82,yes
U112,1298,0.22,no
U112,1229,0.12,no
U112,1221,0.75,no
U112,1246,0.38,no
U112,1250,0.85,no
U112,1246,0.3,no
U112,1249,0.66,no
U112,1239,0.69,no
U113,3822,0.79,yes
U113,536,0.41,yes
U113,4541,0.75,yes
U113,4510,0.78,no
U113,4176,0.46,no
U113,934,0.84,yes
U113,150,0.68,yes
U113,284,0.15,no
U116,4339,0.2,no
U116,4266,0.69,yes
U116,4399,0.76,yes
U116,506,0.58,yes
U116,6722,0.08,no
U116,4203,0.31,no
U116,4832,0.54,no
U116,442,0.32,no
U116,1516,0.97,no
U116,4941,0.51,no
U116,4317,0.89,no
U116,4824,0.78,yes
U116,4232,0.74,yes
U116,5137,0.84,no
U116,320,0.28,no
U116,4180,0.7,no
U116,4658,0.41,no
U116,4172,0.83,no
U116,671,0.86,no
U116,5431,0.76,no
U116,6640,0.87,yes
U116,4658,0.44,no
U116,990,0.48,no
U116,3685,0.27,no
U116,3629,0.76,yes
U116,901,0.48,no
U116,3617,0.89,yes
U116,97,0.83,yes
U116,3670,0.84,no
U116,3620,0.34,no
U116,3626,0.7,no
U116,3656,0.8,no
U116,3631,0.5,no
U116,3630,0.56,no
U116,153,0.98,no
U116,3691,0.33,no
U116,3835,0.27,no
U116,3829,0.37,no
U116,749,0.46,no
U116,133,0.69,no
U116,1228,0.94,yes
U117,4420,0.34,no
U117,4351,0.98,no
U117,102,0.67,no
U117,4360,0.3,no
U117,1653,0.86,yes
U117,2032,0.3,no
U117,1733,0.87,yes
U117,1582,0.66,no
U117,3628,0.3,no
U117,3638,0.68,no
U117,1227,0.77,no
U117,1245,0.35,no
U117,1247,0.18,no
U117,1224,0.7,no
U117,1314,0.54,no
U117,1311,0.55,no
U12,4422,0.79,no
U12,4296,0.68,no
U12,6113,0.81,no
U12,4420,0.55,no
U12,4167,0.11,no
U12,4410,0.81,no
U12,529,0.84,no
U12,4215,0.36,no
U12,4317,0.91,no
U12,640,0.96,yes
U12,4373,0.86,yes
U12,4174,0.73,no
U12,5269,0.86,no
U12,130,0.83,yes
U12,4757,0.22,no
U12,1345,0.54,no
U12,1701,0.92,no
U12,1634,0.8,no
U12,4024,0.71,no
U12,4075,0.68,no
U12,3992,0.21,no
U12,3619,0.88,no
U12,990,0.47,yes
U12,3703,0.6,no
U120,4263,0.12,no
U120,4383,0.93,yes
U120,817,0.09,no
U120,4898,0.95,no
U120,4377,0.81,no
U120,3951,0.52,no
U120,4344,0.9,yes
U120,4370,0.72,no
U120,4163,0.98,no
U120,5854,0.72,no
U120,3616,0.41,yes
U120,5380,0.58,yes
U120,4377,0.85,no
U120,54,0.71,no
U120,5592,0.58,yes
U120,4275,0.38,no
U120,4354,0.74,no
U120,4256,0.83,yes
U120,3300,0.33,no
U120,1709,0.72,no
U120,2112,0.85,yes
U120,1687,0.73,no
U120,2150,0.58,yes
U120,988,0.8,yes
U120,3618,0.8,no
U120,817,0.7,no
U120,990,0.35,no
U120,13,0.96,no
U120,73,0.14,no
U120,131,0.83,no
U120,8,0.79,no
U120,33,0.87,yes
U120,62,0.81,no
U121,4162,0.82,no
U121,4541,0.93,yes
U121,4290,0.96,yes
U121,4941,0.43,no
U121,6650,0.52,no
U121,720,0.38,no
U121,3620,0.19,no
U121,3806,0.05,no
U121,1247,0.26,no
U121,1485,0.49,no
U121,1224,0.83,yes
U121,1247,0.18,no
U121,1371,0.2,no
U122,4351,0.98,no
U122,4686,0.56,no
U122,2875,0.5,no
U124,6587,0.33,no
U124,4171,0.71,no
U124,230,0.78,no
U124,3935,0.66,no
U124,5356,0.06,no
U124,6086,0.59,no
U124,6252,0.42,yes
U124,5031,0.76,no
U124,4211,0.43,no
U124,4455,0.7,no
U124,52,0.28,no
U124,3663,0.55,no
U124,4335,0.72,no
U124,3964,0.75,no
U124,4277,0.83,no
U124,67,0.3,no
U124,4391,0.89,yes
U124,147,0.18,no
U124,1563,0.91,no
U124,1414,0.66,no
U124,1608,0.72,yes
U124,1603,0.91,yes
U124,4011,0.88,no
U124,3985,0.56,no
U124,3624,0.33,no
U124,3622,0.68,no
U124,3638,0.68,no
U124,3808,0.42,no
U124,817,0.69,no
U124,50,0.67,no
U124,3622,0.89,no
U124,3628,0.24,no
U124,811,0.52,no
U124,869,0.91,yes
U124,829,0.66,no
U124,838,0.32,no
U125,4769,0.1,no
U125,122,0.85,yes
U125,1017,0.32,no
U125,4641,0.9,yes
U125,5067,0.37,no
U125,4366,0.44,no
U125,4419,0.91,yes
U125,5854,0.85,no
U125,2147,0.29,no
U125,2384,0.12,no
U125,2788,0.92,yes
U125,2761,0.84,no
U126,4909,0.82,yes
U126,4242,0.41,no
U126,5386,0.69,no
U128,4383,0.77,no
U128,4559,0.51,no
U128,2098,0.39,no
U128,1733,0.7,no
U128,2073,0.81,yes
U128,2118,0.31,no
U128,757,0.86,no
U128,750,0.36,no
U128,1231,0.26,no
U128,1224,0.68,no
U128,1234,0.42,no
U128,1500,0.83,yes
U129,4017,0.35,no
U135,1635,0.75,yes
U135,1671,0.9,no
U135,1619,0.71,no
U135,3288,0.76,no
U135,1737,0.55,yes
U135,1565,0.74,no
U135,3997,0.77,no
U135,4000,0.94,yes
U135,4000,0.75,no
U136,607,0.54,no
U136,5637,0.7,no
U136,533,0.18,no
U136,4293,0.87,yes
U136,4790,0.86,yes
U136,5403,0.7,no
U136,4829,0.66,no
U136,4362,0.95,no
U136,1005,0.16,no
U136,5493,0.74,no
U136,4981,0.73,yes
U136,4420,0.36,no
U136,4173,0.87,no
U136,4,0.54,no
U136,4854,0.16,no
U136,605,0.51,no
U136,388,0.88,no
U136,5340,0.55,no
U136,4377,0.71,no
U136,3863,0.28,no
U136,4779,0.21,no
U136,4211,0.2,no
U136,4331,0.83,yes
U136,3892,0.22,no
U136,4422,0.87,no
U136,4272,0.83,yes
U136,4253,0.26,no
U136,603,0.94,no
U136,3983,0.43,no
U136,4047,0.16,no
U136,3629,0.89,no
U136,990,0.46,no
U136,160,0.19,no
U136,25,0.69,no
U136,1224,0.7,no
U136,1250,0.71,no
U137,4882,0.94,no
U137,4660,0.41,no
U137,4383,0.72,no
U137,6875,0.15,no
U137,1862,0.51,yes
U137,1668,0.89,no
U137,1585,0.69,no
U137,1666,0.14,no
U137,1858,0.22,no
U137,2128,0.71,no
U137,1674,0.9,yes
U137,1649,0.85,no
U137,3373,0.37,no
U137,1686,0.41,no
U137,1635,0.86,yes
U137,1698,0.92,no
U137,1693,0.48,no
U137,3989,0.94,yes
U137,356,0.42,no
U137,1038,0.36,no
U137,950,0.85,no
U137,3816,0.81,yes
U137,3702,0.85,no
U137,3910,0.85,yes
U137,3615,0.77,yes
U137,3612,0.89,yes
U137,861,0.32,no
U137,852,0.34,no
U137,757,0.84,yes
U137,752,0.69,no
U14,4636,0.2,no
U14,5120,0.15,no
U14,5272,0.98,yes
U14,3662,0.81,no
U14,5394,0.91,yes
U14,4500,0.4,no
U14,4415,0.39,no
U14,5683,0.85,yes
U14,4258,0.27,no
U14,4350,0.46,no
U14,429,0.3,no
U14,4254,0.94,yes
U14,4707,0.88,no
U14,4968,0.92,yes
U14,225,0.93,no
U14,4359,0.84,no
U14,6507,0.05,no
U14,1485,0.53,no
U14,590,0.18,no
U14,5181,0.42,yes
U14,5269,0.96,no
U14,4171,0.91,no
U14,121,0.79,no
U14,163,0.56,no
U14,4266,0.8,yes
U14,4559,0.18,no
U14,1516,0.75,no
U14,4756,0.96,yes
U14,4360,0.21,no
U14,6103,0.5,no
U14,5010,0.92,no
U14,6255,0.42,no
U14,4319,0.12,no
U14,4981,0.89,yes
U14,3915,0.93,no
U14,3622,0.83,no
U14,315,0.2,no
U14,90,0.88,yes
U14,4513,0.69,no
U14,2035,0.69,no
U14,1675,0.76,no
U14,1600,0.89,no
U14,1987,0.24,no
U14,1711,0.11,no
U14,2123,0.37,no
U14,1716,0.57,no
U14,2603,0.87,yes
U14,1934,0.98,no
U14,4139,0.25,no
U14,4049,0.18,no
U14,3987,0.36,no
U14,4008,0.98,no
U14,3984,0.22,no
U14,3995,0.49,no
U14,3994,0.33,no
U14,4060,0.24,no
U14,3989,0.67,no
U14,869,0.26,no
U14,3631,0.55,no
U14,3693,0.47,no
U14,3687,0.57,no
U14,3629,0.81,no
U14,3609,0.73,no
U14,811,0.17,no
U14,1149,0.33,no
U14,760,0.86,yes
U14,1248,0.81,no
U14,1320,0.79,no
U14,1250,0.87,yes
U14,1325,0.21,no
U14,1403,0.26,no
U14,1236,0.47,no
U14,1281,0.25,no
U14,1372,0.18,no
U14,1289,0.51,no
U14,1233,0.11,no
U14,1226,0.69,no
U14,1246,0.44,no
U14,1231,0.36,no
U14,1258,0.35,no
U14,1232,0.65,yes
U14,1303,0.18,no
U14,1267,0.37,no
U14,1310,0.38,no
U142,5783,0.28,no
U142,4248,0.14,no
U142,3752,0.59,no
U142,4171,0.84,no
U142,299,0.35,no
U142,4217,0.78,yes
U142,1674,0.72,no
U142,1129,0.32,no
U142,3450,0.82,yes
U142,2039,0.94,no
U142,3669,0.53,no
U142,3623,0.26,no
U143,1149,0.92,no
U143,1513,0.79,no
U143,1743,0.79,no
U143,791,0.58,no
U143,741,0.88,no
U143,752,0.87,no
U143,8,0.83,no
U143,519,0.92,yes
U143,496,0.44,yes
U143,102,0.98,yes
U143,1232,0.86,no
U143,1253,0.93,no
U143,1270,0.54,no
U143,1335,0.03,no
U143,1291,0.17,no
U143,1246,0.22,no
U145,4366,0.4,no
U145,4582,0.91,yes
U145,1583,0.91,no
U145,901,0.15,no
U145,60,0.34,no
U145,268,0.45,no
U146,689,0.59,no
U146,305,0.81,yes
U146,4483,0.2,no
U146,292,0.78,yes
U146,4510,0.84,no
U146,4357,0.59,no
U146,4125,0.35,no
U146,3988,0.88,yes
U147,653,0.32,no
U147,1684,0.69,no
U147,97,0.76,no
U147,3610,0.26,no
U147,3616,0.93,yes
